variant,category,file,ground_truth_reps,detected_reps,count_error,accuracy_pct,frames_processed,frames_with_pose,detection_rate,form_excellent,form_good,form_fair,form_poor,notes,error
original,squat,arc1_my_test_video_1_squat_2.mp4,6,6,0,100.0,424,424,100.0,6,0,0,0,Front angle,
percentile,squat,arc1_my_test_video_1_squat_2.mp4,6,6,0,100.0,424,424,100.0,6,0,0,0,Front angle,
original,squat,arc1_similar_dataset_385c01f2-e604-46d4-a84b-949b733395dd.mp4,1,1,0,100.0,120,120,100.0,0,1,0,0,,
percentile,squat,arc1_similar_dataset_385c01f2-e604-46d4-a84b-949b733395dd.mp4,1,1,0,100.0,120,120,100.0,1,0,0,0,,
original,squat,arc1_similar_dataset_6dddd176-2460-48cf-bd01-3eaaa0dc754f.mp4,3,3,0,100.0,300,300,100.0,0,3,0,0,Video cuts in the middle of 4th rep.,
percentile,squat,arc1_similar_dataset_6dddd176-2460-48cf-bd01-3eaaa0dc754f.mp4,3,3,0,100.0,300,300,100.0,0,3,0,0,Video cuts in the middle of 4th rep.,
original,squat,arc1_similar_dataset_71ef5d06-bfea-449b-8ff3-b428ae7dbaa7.mp4,2,2,0,100.0,240,240,100.0,0,2,0,0,2 Cameras. Video cuts and changes cameras mid-rep.,
percentile,squat,arc1_similar_dataset_71ef5d06-bfea-449b-8ff3-b428ae7dbaa7.mp4,2,2,0,100.0,240,240,100.0,0,2,0,0,2 Cameras. Video cuts and changes cameras mid-rep.,
original,squat,arc1_similar_dataset_897f5a21-f1a1-477e-aa8b-11b7ee9378d2.mp4,2,3,1,50.0,180,180,100.0,0,1,2,0,,
percentile,squat,arc1_similar_dataset_897f5a21-f1a1-477e-aa8b-11b7ee9378d2.mp4,2,3,1,50.0,180,180,100.0,0,1,2,0,,
original,squat,arc1_similar_dataset_v_BodyWeightSquats_g01_c01.avi,4,4,0,100.0,267,267,100.0,0,4,0,0,,
percentile,squat,arc1_similar_dataset_v_BodyWeightSquats_g01_c01.avi,4,4,0,100.0,267,267,100.0,0,4,0,0,,
original,squat,arc1_similar_dataset_v_BodyWeightSquats_g01_c02.avi,4,4,0,100.0,252,252,100.0,0,4,0,0,,
percentile,squat,arc1_similar_dataset_v_BodyWeightSquats_g01_c02.avi,4,4,0,100.0,252,252,100.0,0,4,0,0,,
original,squat,arc1_similar_dataset_v_BodyWeightSquats_g02_c02.avi,1,1,0,100.0,57,57,100.0,0,0,1,0,,
percentile,squat,arc1_similar_dataset_v_BodyWeightSquats_g02_c02.avi,1,1,0,100.0,57,57,100.0,0,0,1,0,,
original,squat,arc1_similar_dataset_v_BodyWeightSquats_g02_c03.avi,2,2,0,100.0,117,117,100.0,0,2,0,0,,
percentile,squat,arc1_similar_dataset_v_BodyWeightSquats_g02_c03.avi,2,2,0,100.0,117,117,100.0,0,2,0,0,,
original,squat,arc1_similar_dataset_v_BodyWeightSquats_g04_c03.avi,1,1,0,100.0,88,87,98.9,1,0,0,0,,
percentile,squat,arc1_similar_dataset_v_BodyWeightSquats_g04_c03.avi,1,1,0,100.0,88,87,98.9,1,0,0,0,,
original,squat,arc1_similar_dataset_v_BodyWeightSquats_g04_c04.avi,1,1,0,100.0,63,63,100.0,1,0,0,0,,
percentile,squat,arc1_similar_dataset_v_BodyWeightSquats_g04_c04.avi,1,1,0,100.0,63,63,100.0,1,0,0,0,,
original,squat,arc1_similar_dataset_v_BodyWeightSquats_g06_c01.avi,2,2,0,100.0,179,179,100.0,2,0,0,0,,
percentile,squat,arc1_similar_dataset_v_BodyWeightSquats_g06_c01.avi,2,2,0,100.0,179,179,100.0,2,0,0,0,,
original,squat,arc1_similar_dataset_v_BodyWeightSquats_g06_c02.avi,2,2,0,100.0,122,122,100.0,2,0,0,0,,
percentile,squat,arc1_similar_dataset_v_BodyWeightSquats_g06_c02.avi,2,2,0,100.0,122,122,100.0,2,0,0,0,,
original,squat,arc1_similar_dataset_v_BodyWeightSquats_g15_c03.avi,2,2,0,100.0,137,137,100.0,0,2,0,0,Front angle,
percentile,squat,arc1_similar_dataset_v_BodyWeightSquats_g15_c03.avi,2,2,0,100.0,137,137,100.0,0,2,0,0,Front angle,
original,squat,arc1_similar_dataset_v_BodyWeightSquats_g15_c04.avi,2,2,0,100.0,126,126,100.0,0,2,0,0,Front angle,
percentile,squat,arc1_similar_dataset_v_BodyWeightSquats_g15_c04.avi,2,2,0,100.0,126,126,100.0,0,2,0,0,Front angle,
original,squat,arc1_similar_dataset_v_BodyWeightSquats_g22_c03.avi,2,2,0,100.0,138,138,100.0,1,0,1,0,Feet not visible,
percentile,squat,arc1_similar_dataset_v_BodyWeightSquats_g22_c03.avi,2,2,0,100.0,138,138,100.0,1,0,1,0,Feet not visible,
original,squat,arc2_squat_13.mp4,2,2,0,100.0,130,130,100.0,2,0,0,0,Left side back angle,
percentile,squat,arc2_squat_13.mp4,2,2,0,100.0,130,130,100.0,2,0,0,0,Left side back angle,
original,squat,arc2_squat_29.mp4,1,1,0,100.0,55,55,100.0,1,0,0,0,,
percentile,squat,arc2_squat_29.mp4,1,1,0,100.0,55,55,100.0,1,0,0,0,,
original,squat,arc2_squat_7.mp4,0,1,1,0.0,58,58,100.0,0,1,0,0,Video starts mid rep.,
percentile,squat,arc2_squat_7.mp4,0,1,1,0.0,58,58,100.0,0,1,0,0,Video starts mid rep.,
original,squat,arc2_squat_8.mp4,1,1,0,100.0,101,101,100.0,1,0,0,0,Back angle,
percentile,squat,arc2_squat_8.mp4,1,1,0,100.0,101,101,100.0,1,0,0,0,Back angle,
original,squat,arc2_squat_9.mp4,1,1,0,100.0,72,69,95.8,1,0,0,0,Rotating Camera from side to back.,
percentile,squat,arc2_squat_9.mp4,1,1,0,100.0,72,69,95.8,1,0,0,0,Rotating Camera from side to back.,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_1.mp4,2,2,0,100.0,150,150,100.0,0,1,1,0,,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_1.mp4,2,2,0,100.0,150,150,100.0,0,1,1,0,,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_10.mp4,3,2,-1,66.7,150,149,99.3,2,0,0,0,Front Angle. The video stops just before the full completion of last rep.,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_10.mp4,3,2,-1,66.7,150,149,99.3,2,0,0,0,Front Angle. The video stops just before the full completion of last rep.,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_11.mp4,1,1,0,100.0,108,108,100.0,0,1,0,0,,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_11.mp4,1,1,0,100.0,108,108,100.0,0,1,0,0,,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_12.mp4,3,3,0,100.0,150,150,100.0,3,0,0,0,Front angle,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_12.mp4,3,3,0,100.0,150,150,100.0,3,0,0,0,Front angle,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_13.mp4,2,1,-1,50.0,145,145,100.0,1,0,0,0,Front and above camera angle,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_13.mp4,2,1,-1,50.0,145,145,100.0,1,0,0,0,Front and above camera angle,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_14.mp4,2,2,0,100.0,150,150,100.0,2,0,0,0,,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_14.mp4,2,2,0,100.0,150,150,100.0,2,0,0,0,,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_15.mp4,2,3,1,50.0,150,150,100.0,2,1,0,0,4 reps but first and last rep are cut in the video.,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_15.mp4,2,3,1,50.0,150,150,100.0,2,1,0,0,4 reps but first and last rep are cut in the video.,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_16.mp4,1,2,1,0.0,140,140,100.0,2,0,0,0,,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_16.mp4,1,2,1,0.0,140,140,100.0,2,0,0,0,,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_17.mp4,4,5,1,75.0,150,150,100.0,5,0,0,0,Front angle,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_17.mp4,4,5,1,75.0,150,150,100.0,5,0,0,0,Front angle,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_18.mp4,1,1,0,100.0,150,150,100.0,1,0,0,0,Side and above angle.,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_18.mp4,1,1,0,100.0,150,150,100.0,1,0,0,0,Side and above angle.,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_19.mp4,4,3,-1,75.0,150,150,100.0,3,0,0,0,Video ends just before completion of 4th rep.,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_19.mp4,4,3,-1,75.0,150,150,100.0,3,0,0,0,Video ends just before completion of 4th rep.,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_2.mp4,2,2,0,100.0,150,150,100.0,0,2,0,0,Video cuts between 3rd rep.,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_2.mp4,2,2,0,100.0,150,150,100.0,0,2,0,0,Video cuts between 3rd rep.,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_20.mp4,1,1,0,100.0,82,73,89.0,1,0,0,0,Front angle,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_20.mp4,1,1,0,100.0,82,73,89.0,1,0,0,0,Front angle,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_21.mp4,1,1,0,100.0,113,113,100.0,1,0,0,0,,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_21.mp4,1,1,0,100.0,113,113,100.0,1,0,0,0,,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_22.mp4,1,0,-1,0.0,150,150,100.0,0,0,0,0,,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_22.mp4,1,0,-1,0.0,150,150,100.0,0,0,0,0,,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_23.mp4,1,1,0,100.0,116,116,100.0,1,0,0,0,Camera zooming in,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_23.mp4,1,1,0,100.0,116,116,100.0,1,0,0,0,Camera zooming in,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_24.mp4,1,1,0,100.0,126,126,100.0,1,0,0,0,,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_24.mp4,1,1,0,100.0,126,126,100.0,1,0,0,0,,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_25.mp4,1,1,0,100.0,98,98,100.0,1,0,0,0,Camera too close,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_25.mp4,1,1,0,100.0,98,98,100.0,1,0,0,0,Camera too close,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_3.mp4,2,2,0,100.0,150,150,100.0,0,2,0,0,Video starts mid rep. So excluding that it’s 2.,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_3.mp4,2,2,0,100.0,150,150,100.0,0,2,0,0,Video starts mid rep. So excluding that it’s 2.,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_4.mp4,2,2,0,100.0,150,150,100.0,2,0,0,0,,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_4.mp4,2,2,0,100.0,150,150,100.0,2,0,0,0,,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_5.mp4,1,2,1,0.0,150,150,100.0,2,0,0,0,Incomplete video of 1st and 3rd rep.,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_5.mp4,1,2,1,0.0,150,150,100.0,2,0,0,0,Incomplete video of 1st and 3rd rep.,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_6.mp4,2,1,-1,50.0,150,150,100.0,1,0,0,0,,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_6.mp4,2,1,-1,50.0,150,150,100.0,1,0,0,0,,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_7.mp4,2,2,0,100.0,150,150,100.0,1,1,0,0,Diamond Pushup,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_7.mp4,2,2,0,100.0,150,150,100.0,1,1,0,0,Diamond Pushup,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_8.mp4,1,2,1,0.0,150,150,100.0,1,1,0,0,Diamond Pushup. Incomplete video of starting and ending rep. So counted only mid rep.,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_8.mp4,1,2,1,0.0,150,150,100.0,2,0,0,0,Diamond Pushup. Incomplete video of starting and ending rep. So counted only mid rep.,
original,push-up,arc1_final_kaggle_with_additional_video_push-up_9.mp4,2,2,0,100.0,150,150,100.0,0,2,0,0,Diamond Pushup,
percentile,push-up,arc1_final_kaggle_with_additional_video_push-up_9.mp4,2,2,0,100.0,150,150,100.0,0,2,0,0,Diamond Pushup,
original,push-up,arc1_my_test_video_1_push-up_1.mp4,9,8,-1,88.9,422,422,100.0,2,6,0,0,Proper home workout,
percentile,push-up,arc1_my_test_video_1_push-up_1.mp4,9,8,-1,88.9,422,422,100.0,4,4,0,0,Proper home workout,
original,push-up,arc1_my_test_video_1_push-up_2.mp4,9,9,0,100.0,362,361,99.7,9,0,0,0,Front Angle. Home Workout,
percentile,push-up,arc1_my_test_video_1_push-up_2.mp4,9,9,0,100.0,362,361,99.7,9,0,0,0,Front Angle. Home Workout,
original,push-up,arc1_my_test_video_1_push-up_3.mp4,8,8,0,100.0,366,365,99.7,0,8,0,0,Proper home workout,
percentile,push-up,arc1_my_test_video_1_push-up_3.mp4,8,8,0,100.0,366,365,99.7,0,8,0,0,Proper home workout,
original,push-up,arc1_similar_dataset_01b09356-3985-474f-827f-20c79cfcda78.mp4,4,4,0,100.0,550,550,100.0,4,0,0,0,,
percentile,push-up,arc1_similar_dataset_01b09356-3985-474f-827f-20c79cfcda78.mp4,4,4,0,100.0,550,550,100.0,4,0,0,0,,
original,push-up,arc1_similar_dataset_02dd7b9d-c7fe-41b8-993a-e250b07a5ceb.mp4,11,1,-10,9.1,300,300,100.0,1,0,0,0,Falls in between initial reps of 2-3.,
percentile,push-up,arc1_similar_dataset_02dd7b9d-c7fe-41b8-993a-e250b07a5ceb.mp4,11,1,-10,9.1,300,300,100.0,1,0,0,0,Falls in between initial reps of 2-3.,
original,push-up,arc1_similar_dataset_10cad66c-a298-4de5-ac55-16ff825f8101.mp4,14,0,-14,0.0,215,215,100.0,0,0,0,0,,
percentile,push-up,arc1_similar_dataset_10cad66c-a298-4de5-ac55-16ff825f8101.mp4,14,0,-14,0.0,215,215,100.0,0,0,0,0,,
original,push-up,arc1_similar_dataset_53f39e2a-4ca3-45d1-af84-6ddfde7ff818.mp4,12,1,-11,8.3,300,300,100.0,1,0,0,0,Falls on the last rep.,
percentile,push-up,arc1_similar_dataset_53f39e2a-4ca3-45d1-af84-6ddfde7ff818.mp4,12,1,-11,8.3,300,300,100.0,1,0,0,0,Falls on the last rep.,
original,push-up,arc1_similar_dataset_57f76c55-838a-4184-9ad0-effced296b5c.mp4,13,0,-13,0.0,215,215,100.0,0,0,0,0,,
percentile,push-up,arc1_similar_dataset_57f76c55-838a-4184-9ad0-effced296b5c.mp4,13,0,-13,0.0,215,215,100.0,0,0,0,0,,
original,push-up,arc1_similar_dataset_5b596f14-2afd-45c1-a79b-f5b61bf050a7.mp4,5,1,-4,20.0,86,86,100.0,0,1,0,0,Short reps,
percentile,push-up,arc1_similar_dataset_5b596f14-2afd-45c1-a79b-f5b61bf050a7.mp4,5,1,-4,20.0,86,86,100.0,0,1,0,0,Short reps,
original,push-up,arc1_similar_dataset_5e507b14-eaeb-4b1a-9ff0-3de5883d0d22.mp4,18,0,-18,0.0,550,550,100.0,0,0,0,0,Quick short reps (Burst Pushups).,
percentile,push-up,arc1_similar_dataset_5e507b14-eaeb-4b1a-9ff0-3de5883d0d22.mp4,18,0,-18,0.0,550,550,100.0,0,0,0,0,Quick short reps (Burst Pushups).,
original,push-up,arc1_similar_dataset_64f7ef6d-5a82-48e1-b75f-cca64f151315.mp4,13,12,-1,92.3,588,588,100.0,8,4,0,0,Video stops just before completion of 13th rep.,
percentile,push-up,arc1_similar_dataset_64f7ef6d-5a82-48e1-b75f-cca64f151315.mp4,13,12,-1,92.3,588,588,100.0,8,4,0,0,Video stops just before completion of 13th rep.,
original,push-up,arc1_similar_dataset_6e4f0e04-4dbd-476c-9884-a476bd7a2c33.mp4,10,2,-8,20.0,300,300,100.0,2,0,0,0,,
percentile,push-up,arc1_similar_dataset_6e4f0e04-4dbd-476c-9884-a476bd7a2c33.mp4,10,2,-8,20.0,300,300,100.0,2,0,0,0,,
original,push-up,arc1_similar_dataset_a31bfef9-b3ea-4fb9-8541-572fa62f15bb.mp4,18,0,-18,0.0,550,550,100.0,0,0,0,0,Short reps (Hands not fully comes up),
percentile,push-up,arc1_similar_dataset_a31bfef9-b3ea-4fb9-8541-572fa62f15bb.mp4,18,0,-18,0.0,550,550,100.0,0,0,0,0,Short reps (Hands not fully comes up),
original,push-up,arc1_similar_dataset_bd26f1c8-271f-45d2-a877-0deaa4f6e6f2.mp4,17,0,-17,0.0,550,550,100.0,0,0,0,0,Short reps,
percentile,push-up,arc1_similar_dataset_bd26f1c8-271f-45d2-a877-0deaa4f6e6f2.mp4,17,0,-17,0.0,550,550,100.0,0,0,0,0,Short reps,
original,push-up,arc1_similar_dataset_v_PushUps_g01_c02.avi,2,2,0,100.0,53,53,100.0,2,0,0,0,,
percentile,push-up,arc1_similar_dataset_v_PushUps_g01_c02.avi,2,2,0,100.0,53,53,100.0,2,0,0,0,,
original,push-up,arc1_similar_dataset_v_PushUps_g17_c02.avi,2,2,0,100.0,81,81,100.0,0,2,0,0,,
percentile,push-up,arc1_similar_dataset_v_PushUps_g17_c02.avi,2,2,0,100.0,81,81,100.0,0,2,0,0,,
original,push-up,arc1_similar_dataset_v_PushUps_g17_c03.avi,2,2,0,100.0,74,74,100.0,0,2,0,0,,
percentile,push-up,arc1_similar_dataset_v_PushUps_g17_c03.avi,2,2,0,100.0,74,74,100.0,0,2,0,0,,
original,push-up,arc1_similar_dataset_v_PushUps_g19_c03.avi,3,3,0,100.0,76,76,100.0,0,3,0,0,,
percentile,push-up,arc1_similar_dataset_v_PushUps_g19_c03.avi,3,3,0,100.0,76,76,100.0,0,3,0,0,,
original,push-up,arc1_similar_dataset_v_PushUps_g25_c01.avi,2,2,0,100.0,90,90,100.0,0,2,0,0,Video starts mid rep just after the starting position,
percentile,push-up,arc1_similar_dataset_v_PushUps_g25_c01.avi,2,2,0,100.0,90,90,100.0,0,2,0,0,Video starts mid rep just after the starting position,
original,push-up,arc1_similar_dataset_v_PushUps_g25_c02.avi,2,2,0,100.0,109,109,100.0,2,0,0,0,,
percentile,push-up,arc1_similar_dataset_v_PushUps_g25_c02.avi,2,2,0,100.0,109,109,100.0,2,0,0,0,,
original,push-up,arc2_push-up_11.mp4,2,2,0,100.0,150,150,100.0,2,0,0,0,Front angle.Video ends before completion of 3rd rep.,
percentile,push-up,arc2_push-up_11.mp4,2,2,0,100.0,150,150,100.0,2,0,0,0,Front angle.Video ends before completion of 3rd rep.,
original,push-up,arc2_push-up_12.mp4,2,2,0,100.0,150,150,100.0,2,0,0,0,Front angle,
percentile,push-up,arc2_push-up_12.mp4,2,2,0,100.0,150,150,100.0,2,0,0,0,Front angle,
original,push-up,arc2_push-up_13.mp4,2,2,0,100.0,150,149,99.3,2,0,0,0,Front Angle,
percentile,push-up,arc2_push-up_13.mp4,2,2,0,100.0,150,149,99.3,2,0,0,0,Front Angle,
original,push-up,arc2_push-up_14.mp4,2,2,0,100.0,150,148,98.7,2,0,0,0,Front angle. Diamond Pushup,
percentile,push-up,arc2_push-up_14.mp4,2,2,0,100.0,150,148,98.7,2,0,0,0,Front angle. Diamond Pushup,
original,push-up,arc2_push-up_15.mp4,0,0,0,100.0,83,83,100.0,0,0,0,0,,
percentile,push-up,arc2_push-up_15.mp4,0,0,0,100.0,83,83,100.0,0,0,0,0,,
original,push-up,arc2_push-up_17.mp4,1,1,0,100.0,91,91,100.0,1,0,0,0,Closeup,
percentile,push-up,arc2_push-up_17.mp4,1,1,0,100.0,91,91,100.0,1,0,0,0,Closeup,
original,push-up,arc2_push-up_18.mp4,0,0,0,100.0,70,70,100.0,0,0,0,0,Back above camera angle.,
percentile,push-up,arc2_push-up_18.mp4,0,0,0,100.0,70,70,100.0,0,0,0,0,Back above camera angle.,
original,push-up,arc2_push-up_19.mp4,1,2,1,0.0,150,150,100.0,0,2,0,0,,
percentile,push-up,arc2_push-up_19.mp4,1,2,1,0.0,150,150,100.0,0,2,0,0,,
original,push-up,arc2_push-up_22.mp4,1,1,0,100.0,150,150,100.0,1,0,0,0,Video starts and ends abruptly,
percentile,push-up,arc2_push-up_22.mp4,1,1,0,100.0,150,150,100.0,1,0,0,0,Video starts and ends abruptly,
original,push-up,arc2_push-up_28.mp4,3,3,0,100.0,113,113,100.0,3,0,0,0,Front Angle,
percentile,push-up,arc2_push-up_28.mp4,3,3,0,100.0,113,113,100.0,3,0,0,0,Front Angle,
original,push-up,arc2_push-up_30.mp4,4,4,0,100.0,140,128,91.4,4,0,0,0,Front angle,
percentile,push-up,arc2_push-up_30.mp4,4,4,0,100.0,140,128,91.4,4,0,0,0,Front angle,
original,push-up,arc2_push-up_31.mp4,4,4,0,100.0,150,150,100.0,4,0,0,0,Front Angle,
percentile,push-up,arc2_push-up_31.mp4,4,4,0,100.0,150,150,100.0,4,0,0,0,Front Angle,
original,push-up,arc2_push-up_32.mp4,4,5,1,75.0,150,150,100.0,2,3,0,0,Moving camera,
percentile,push-up,arc2_push-up_32.mp4,4,5,1,75.0,150,150,100.0,2,3,0,0,Moving camera,
original,push-up,arc2_push-up_33.mp4,5,4,-1,80.0,146,146,100.0,4,0,0,0,,
percentile,push-up,arc2_push-up_33.mp4,5,4,-1,80.0,146,146,100.0,4,0,0,0,,
original,push-up,arc2_push-up_34.mp4,3,3,0,100.0,114,114,100.0,3,0,0,0,Front angle,
percentile,push-up,arc2_push-up_34.mp4,3,3,0,100.0,114,114,100.0,3,0,0,0,Front angle,
original,push-up,arc2_push-up_35.mp4,4,4,0,100.0,150,150,100.0,4,0,0,0,,
