category,file,path,duration_s,ground_truth_reps,notes
squat,arc1_similar_dataset_v_BodyWeightSquats_g15_c03.avi,Videos/squat/arc1_similar_dataset_v_BodyWeightSquats_g15_c03.avi,5.48,2,Front angle
squat,arc1_similar_dataset_v_BodyWeightSquats_g15_c04.avi,Videos/squat/arc1_similar_dataset_v_BodyWeightSquats_g15_c04.avi,5.04,2,Front angle
squat,arc1_similar_dataset_v_BodyWeightSquats_g22_c03.avi,Videos/squat/arc1_similar_dataset_v_BodyWeightSquats_g22_c03.avi,5.52,2,Feet not visible
squat,arc2_squat_13.mp4,Videos/squat/arc2_squat_13.mp4,5.42,2,Left side back angle
squat,arc2_squat_29.mp4,Videos/squat/arc2_squat_29.mp4,2.29,1,
squat,arc2_squat_7.mp4,Videos/squat/arc2_squat_7.mp4,2.32,0,Video starts mid rep.
squat,arc2_squat_8.mp4,Videos/squat/arc2_squat_8.mp4,4.21,1,Back angle
squat,arc2_squat_9.mp4,Videos/squat/arc2_squat_9.mp4,3.0,1,Rotating Camera from side to back.
push-up,arc1_final_kaggle_with_additional_video_push-up_1.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_1.mp4,5.0,2,
push-up,arc1_final_kaggle_with_additional_video_push-up_10.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_10.mp4,5.0,3,Front Angle. The video stops just before the full completion of last rep.
push-up,arc1_final_kaggle_with_additional_video_push-up_11.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_11.mp4,3.6,1,
push-up,arc1_final_kaggle_with_additional_video_push-up_12.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_12.mp4,5.0,3,Front angle
push-up,arc1_final_kaggle_with_additional_video_push-up_13.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_13.mp4,4.84,2,Front and above camera angle
push-up,arc1_final_kaggle_with_additional_video_push-up_14.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_14.mp4,5.0,2,
push-up,arc1_final_kaggle_with_additional_video_push-up_15.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_15.mp4,5.0,2,4 reps but first and last rep are cut in the video.
push-up,arc1_final_kaggle_with_additional_video_push-up_16.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_16.mp4,4.67,1,
push-up,arc1_final_kaggle_with_additional_video_push-up_17.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_17.mp4,5.0,4,Front angle
push-up,arc1_final_kaggle_with_additional_video_push-up_18.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_18.mp4,5.0,1,Side and above angle.
push-up,arc1_final_kaggle_with_additional_video_push-up_19.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_19.mp4,5.0,4,Video ends just before completion of 4th rep.
push-up,arc1_final_kaggle_with_additional_video_push-up_2.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_2.mp4,5.0,2,Video cuts between 3rd rep.
push-up,arc1_final_kaggle_with_additional_video_push-up_20.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_20.mp4,2.74,1,Front angle
push-up,arc1_final_kaggle_with_additional_video_push-up_21.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_21.mp4,3.77,1,
push-up,arc1_final_kaggle_with_additional_video_push-up_22.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_22.mp4,5.0,1,
push-up,arc1_final_kaggle_with_additional_video_push-up_23.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_23.mp4,3.87,1,Camera zooming in
push-up,arc1_final_kaggle_with_additional_video_push-up_24.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_24.mp4,4.2,1,
push-up,arc1_final_kaggle_with_additional_video_push-up_25.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_25.mp4,3.27,1,Camera too close
push-up,arc1_final_kaggle_with_additional_video_push-up_3.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_3.mp4,5.0,2,Video starts mid rep. So excluding that it’s 2.
push-up,arc1_final_kaggle_with_additional_video_push-up_4.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_4.mp4,5.0,2,
push-up,arc1_final_kaggle_with_additional_video_push-up_5.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_5.mp4,5.0,1,Incomplete video of 1st and 3rd rep.
push-up,arc1_final_kaggle_with_additional_video_push-up_6.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_6.mp4,5.0,2,
push-up,arc1_final_kaggle_with_additional_video_push-up_7.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_7.mp4,5.0,2,Diamond Pushup
push-up,arc1_final_kaggle_with_additional_video_push-up_8.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_8.mp4,5.0,1,Diamond Pushup. Incomplete video of starting and ending rep. So counted only mid rep.
push-up,arc1_final_kaggle_with_additional_video_push-up_9.mp4,Videos/push-up/arc1_final_kaggle_with_additional_video_push-up_9.mp4,5.0,2,Diamond Pushup
push-up,arc1_my_test_video_1_push-up_1.mp4,Videos/push-up/arc1_my_test_video_1_push-up_1.mp4,14.07,9,Proper home workout
push-up,arc1_my_test_video_1_push-up_2.mp4,Videos/push-up/arc1_my_test_video_1_push-up_2.mp4,12.07,9,Front Angle. Home Workout
push-up,arc1_my_test_video_1_push-up_3.mp4,Videos/push-up/arc1_my_test_video_1_push-up_3.mp4,12.2,8,Proper home workout
push-up,arc1_similar_dataset_01b09356-3985-474f-827f-20c79cfcda78.mp4,Videos/push-up/arc1_similar_dataset_01b09356-3985-474f-827f-20c79cfcda78.mp4,10.0,4,
push-up,arc1_similar_dataset_02dd7b9d-c7fe-41b8-993a-e250b07a5ceb.mp4,Videos/push-up/arc1_similar_dataset_02dd7b9d-c7fe-41b8-993a-e250b07a5ceb.mp4,10.0,11,Falls in between initial reps of 2-3.
push-up,arc1_similar_dataset_10cad66c-a298-4de5-ac55-16ff825f8101.mp4,Videos/push-up/arc1_similar_dataset_10cad66c-a298-4de5-ac55-16ff825f8101.mp4,10.03,14,
push-up,arc1_similar_dataset_53f39e2a-4ca3-45d1-af84-6ddfde7ff818.mp4,Videos/push-up/arc1_similar_dataset_53f39e2a-4ca3-45d1-af84-6ddfde7ff818.mp4,10.0,12,Falls on the last rep.
push-up,arc1_similar_dataset_57f76c55-838a-4184-9ad0-effced296b5c.mp4,Videos/push-up/arc1_similar_dataset_57f76c55-838a-4184-9ad0-effced296b5c.mp4,10.03,13,
push-up,arc1_similar_dataset_5b596f14-2afd-45c1-a79b-f5b61bf050a7.mp4,Videos/push-up/arc1_similar_dataset_5b596f14-2afd-45c1-a79b-f5b61bf050a7.mp4,4.01,5,Short reps
push-up,arc1_similar_dataset_5e507b14-eaeb-4b1a-9ff0-3de5883d0d22.mp4,Videos/push-up/arc1_similar_dataset_5e507b14-eaeb-4b1a-9ff0-3de5883d0d22.mp4,10.0,18,Quick short reps (Burst Pushups).
push-up,arc1_similar_dataset_64f7ef6d-5a82-48e1-b75f-cca64f151315.mp4,Videos/push-up/arc1_similar_dataset_64f7ef6d-5a82-48e1-b75f-cca64f151315.mp4,10.01,13,Video stops just before completion of 13th rep.
push-up,arc1_similar_dataset_6e4f0e04-4dbd-476c-9884-a476bd7a2c33.mp4,Videos/push-up/arc1_similar_dataset_6e4f0e04-4dbd-476c-9884-a476bd7a2c33.mp4,10.0,10,
push-up,arc1_similar_dataset_a31bfef9-b3ea-4fb9-8541-572fa62f15bb.mp4,Videos/push-up/arc1_similar_dataset_a31bfef9-b3ea-4fb9-8541-572fa62f15bb.mp4,10.0,18,Short reps (Hands not fully comes up)
push-up,arc1_similar_dataset_bd26f1c8-271f-45d2-a877-0deaa4f6e6f2.mp4,Videos/push-up/arc1_similar_dataset_bd26f1c8-271f-45d2-a877-0deaa4f6e6f2.mp4,10.0,17,Short reps
push-up,arc1_similar_dataset_v_PushUps_g01_c02.avi,Videos/push-up/arc1_similar_dataset_v_PushUps_g01_c02.avi,2.12,2,
push-up,arc1_similar_dataset_v_PushUps_g17_c02.avi,Videos/push-up/arc1_similar_dataset_v_PushUps_g17_c02.avi,3.24,2,
push-up,arc1_similar_dataset_v_PushUps_g17_c03.avi,Videos/push-up/arc1_similar_dataset_v_PushUps_g17_c03.avi,2.96,2,
push-up,arc1_similar_dataset_v_PushUps_g19_c03.avi,Videos/push-up/arc1_similar_dataset_v_PushUps_g19_c03.avi,3.04,3,
push-up,arc1_similar_dataset_v_PushUps_g25_c01.avi,Videos/push-up/arc1_similar_dataset_v_PushUps_g25_c01.avi,3.6,2,Video starts mid rep just after the starting position
push-up,arc1_similar_dataset_v_PushUps_g25_c02.avi,Videos/push-up/arc1_similar_dataset_v_PushUps_g25_c02.avi,4.36,2,
push-up,arc2_push-up_11.mp4,Videos/push-up/arc2_push-up_11.mp4,5.0,2,Front angle.Video ends before completion of 3rd rep.
push-up,arc2_push-up_12.mp4,Videos/push-up/arc2_push-up_12.mp4,5.0,2,Front angle
push-up,arc2_push-up_13.mp4,Videos/push-up/arc2_push-up_13.mp4,5.0,2,Front Angle
push-up,arc2_push-up_14.mp4,Videos/push-up/arc2_push-up_14.mp4,5.0,2,Front angle. Diamond Pushup
push-up,arc2_push-up_15.mp4,Videos/push-up/arc2_push-up_15.mp4,2.77,0,
push-up,arc2_push-up_17.mp4,Videos/push-up/arc2_push-up_17.mp4,3.04,1,Closeup
push-up,arc2_push-up_18.mp4,Videos/push-up/arc2_push-up_18.mp4,2.34,0,Back above camera angle.
push-up,arc2_push-up_19.mp4,Videos/push-up/arc2_push-up_19.mp4,5.0,1,
push-up,arc2_push-up_22.mp4,Videos/push-up/arc2_push-up_22.mp4,5.0,1,Video starts and ends abruptly
push-up,arc2_push-up_28.mp4,Videos/push-up/arc2_push-up_28.mp4,3.77,3,Front Angle
push-up,arc2_push-up_30.mp4,Videos/push-up/arc2_push-up_30.mp4,4.67,4,Front angle
push-up,arc2_push-up_31.mp4,Videos/push-up/arc2_push-up_31.mp4,5.0,4,Front Angle
push-up,arc2_push-up_32.mp4,Videos/push-up/arc2_push-up_32.mp4,5.0,4,Moving camera
push-up,arc2_push-up_33.mp4,Videos/push-up/arc2_push-up_33.mp4,4.87,5,
push-up,arc2_push-up_34.mp4,Videos/push-up/arc2_push-up_34.mp4,3.8,3,Front angle
push-up,arc2_push-up_35.mp4,Videos/push-up/arc2_push-up_35.mp4,5.0,4,
push-up,arc2_push-up_37.mp4,Videos/push-up/arc2_push-up_37.mp4,4.97,4,Front angle
push-up,arc2_push-up_42.mp4,Videos/push-up/arc2_push-up_42.mp4,5.0,2,
push-up,arc2_push-up_46.mp4,Videos/push-up/arc2_push-up_46.mp4,5.0,1,
push-up,arc2_push-up_47.mp4,Videos/push-up/arc2_push-up_47.mp4,3.5,1,
push-up,arc2_push-up_48.mp4,Videos/push-up/arc2_push-up_48.mp4,5.0,2,Moving camera
push-up,arc2_push-up_49.mp4,Videos/push-up/arc2_push-up_49.mp4,5.0,2,
push-up,arc2_push-up_50.mp4,Videos/push-up/arc2_push-up_50.mp4,5.0,2,
push-up,arc2_push-up_51.mp4,Videos/push-up/arc2_push-up_51.mp4,4.44,3,Camera cuts to different angle and fast moving pushups after 1st rep. 2 videos in one.
push-up,arc2_push-up_53.mp4,Videos/push-up/arc2_push-up_53.mp4,22.12,12,Three different types of pushups in one video
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_1.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_1.mp4,3.8,0,Incomplete Video.
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_10.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_10.mp4,1.97,1,Front angle
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_11.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_11.mp4,6.7,3,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_12.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_12.mp4,4.1,1,Front angle
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_13.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_13.mp4,4.7,1,Front angle
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_14.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_14.mp4,2.3,1,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_15.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_15.mp4,2.17,1,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_16.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_16.mp4,2.1,1,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_17.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_17.mp4,2.04,0,Incomplete Video.
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_18.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_18.mp4,7.63,3,Front angle
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_19.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_19.mp4,14.05,4,Front angle
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_2.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_2.mp4,2.57,1,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_20.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_20.mp4,3.92,1,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_21.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_21.mp4,5.0,1,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_22.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_22.mp4,2.92,1,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_23.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_23.mp4,2.34,1,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_24.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_24.mp4,2.8,1,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_25.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_25.mp4,2.6,1,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_3.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_3.mp4,2.44,1,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_4.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_4.mp4,1.77,0,Incomplete Video.
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_5.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_5.mp4,2.74,0,Incomplete Video.
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_6.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_6.mp4,2.67,1,Front angle
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_7.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_7.mp4,4.6,1,Incomplete start
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_8.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_8.mp4,3.27,0,Incomplete Video.
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_9.mp4,Videos/barbell_biceps_curl/arc1_final_kaggle_with_additional_video_barbell_biceps_curl_9.mp4,2.4,1,
barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_1.mp4,Videos/barbell_biceps_curl/arc1_my_test_video_1_barbell_biceps_curl_1.mp4,19.23,11,
barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_2.mp4,Videos/barbell_biceps_curl/arc1_my_test_video_1_barbell_biceps_curl_2.mp4,12.5,8,
barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_3.mp4,Videos/barbell_biceps_curl/arc1_my_test_video_1_barbell_biceps_curl_3.mp4,13.73,8,Front angle
barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_4.mp4,Videos/barbell_biceps_curl/arc1_my_test_video_1_barbell_biceps_curl_4.mp4,7.23,4,Front angle with a baggy jacket
barbell_biceps_curl,arc1_similar_dataset_0d402adf-578c-4c26-ba50-3b28a6f0e648.mp4,Videos/barbell_biceps_curl/arc1_similar_dataset_0d402adf-578c-4c26-ba50-3b28a6f0e648.mp4,10.76,3,
barbell_biceps_curl,arc1_similar_dataset_1a3e6f0d-fb99-4e4d-b80f-831c7f38aca9.mp4,Videos/barbell_biceps_curl/arc1_similar_dataset_1a3e6f0d-fb99-4e4d-b80f-831c7f38aca9.mp4,10.01,2,Video inconsistent
barbell_biceps_curl,arc1_similar_dataset_27d82bac-ce83-4f91-a381-c11dd0bf6932.mp4,Videos/barbell_biceps_curl/arc1_similar_dataset_27d82bac-ce83-4f91-a381-c11dd0bf6932.mp4,10.0,2,Video inconsistent
barbell_biceps_curl,arc1_similar_dataset_3f034ee8-792b-4646-8746-c0dbbf6e5b50.mp4,Videos/barbell_biceps_curl/arc1_similar_dataset_3f034ee8-792b-4646-8746-c0dbbf6e5b50.mp4,10.01,3,Front angle
barbell_biceps_curl,arc1_similar_dataset_72fb4cb4-ecad-44df-a0e1-5e4f4b581f9e.mp4,Videos/barbell_biceps_curl/arc1_similar_dataset_72fb4cb4-ecad-44df-a0e1-5e4f4b581f9e.mp4,8.01,2,Video inconsistent
barbell_biceps_curl,arc1_similar_dataset_89b99b36-5491-4bc6-952c-53a67b889b62.mp4,Videos/barbell_biceps_curl/arc1_similar_dataset_89b99b36-5491-4bc6-952c-53a67b889b62.mp4,10.01,2,
barbell_biceps_curl,arc1_similar_dataset_ac696ae8-e815-4f5f-bd32-864e2477e3ce.mp4,Videos/barbell_biceps_curl/arc1_similar_dataset_ac696ae8-e815-4f5f-bd32-864e2477e3ce.mp4,8.0,2,
barbell_biceps_curl,arc1_similar_dataset_f20150e2-f6e1-41e9-ab13-9d1e42599bba.mp4,Videos/barbell_biceps_curl/arc1_similar_dataset_f20150e2-f6e1-41e9-ab13-9d1e42599bba.mp4,10.0,1,Video inconsistent
barbell_biceps_curl,arc1_similar_dataset_f32c33d2-e298-499a-a61e-7236d6f1ba64.mp4,Videos/barbell_biceps_curl/arc1_similar_dataset_f32c33d2-e298-499a-a61e-7236d6f1ba64.mp4,9.0,3,Front angle
barbell_biceps_curl,arc1_similar_dataset_f9d9d0bb-7286-4074-8d3c-e73d4072ad79.mp4,Videos/barbell_biceps_curl/arc1_similar_dataset_f9d9d0bb-7286-4074-8d3c-e73d4072ad79.mp4,10.05,0,Incomplete Video.
barbell_biceps_curl,arc2_barbell_biceps_curl_10.mp4,Videos/barbell_biceps_curl/arc2_barbell_biceps_curl_10.mp4,3.14,0,Incomplete video
barbell_biceps_curl,arc2_barbell_biceps_curl_11.mp4,Videos/barbell_biceps_curl/arc2_barbell_biceps_curl_11.mp4,2.5,1,
barbell_biceps_curl,arc2_barbell_biceps_curl_13.mp4,Videos/barbell_biceps_curl/arc2_barbell_biceps_curl_13.mp4,4.07,1,
barbell_biceps_curl,arc2_barbell_biceps_curl_18.mp4,Videos/barbell_biceps_curl/arc2_barbell_biceps_curl_18.mp4,2.24,1,
barbell_biceps_curl,arc2_barbell_biceps_curl_19.mp4,Videos/barbell_biceps_curl/arc2_barbell_biceps_curl_19.mp4,2.0,1,
barbell_biceps_curl,arc2_barbell_biceps_curl_20.mp4,Videos/barbell_biceps_curl/arc2_barbell_biceps_curl_20.mp4,1.87,1,Closeup
barbell_biceps_curl,arc2_barbell_biceps_curl_21.mp4,Videos/barbell_biceps_curl/arc2_barbell_biceps_curl_21.mp4,1.94,1,Closeup
barbell_biceps_curl,arc2_barbell_biceps_curl_22.mp4,Videos/barbell_biceps_curl/arc2_barbell_biceps_curl_22.mp4,1.94,1,Closeup
barbell_biceps_curl,arc2_barbell_biceps_curl_27.mp4,Videos/barbell_biceps_curl/arc2_barbell_biceps_curl_27.mp4,1.84,1,Front angle
barbell_biceps_curl,arc2_barbell_biceps_curl_28.mp4,Videos/barbell_biceps_curl/arc2_barbell_biceps_curl_28.mp4,2.04,1,Closeup
barbell_biceps_curl,arc2_barbell_biceps_curl_29.mp4,Videos/barbell_biceps_curl/arc2_barbell_biceps_curl_29.mp4,1.94,1,Closeup
barbell_biceps_curl,arc2_barbell_biceps_curl_30.mp4,Videos/barbell_biceps_curl/arc2_barbell_biceps_curl_30.mp4,1.63,1,Incomplete video
barbell_biceps_curl,arc2_barbell_biceps_curl_31.mp4,Videos/barbell_biceps_curl/arc2_barbell_biceps_curl_31.mp4,2.17,1,
barbell_biceps_curl,arc2_barbell_biceps_curl_32.mp4,Videos/barbell_biceps_curl/arc2_barbell_biceps_curl_32.mp4,2.17,1,
barbell_biceps_curl,arc2_barbell_biceps_curl_33.mp4,Videos/barbell_biceps_curl/arc2_barbell_biceps_curl_33.mp4,2.07,1,
