category,file,exercise,ground_truth_reps,detected_reps,count_error,accuracy_pct,frames_processed,frames_with_pose,detection_rate,form_excellent,form_good,form_fair,form_poor,error
squat,arc1_similar_dataset_v_BodyWeightSquats_g06_c02.avi,Learned Squat,2,2,0,100.0,122,122,100.0,2,0,0,0,
squat,arc1_similar_dataset_v_BodyWeightSquats_g15_c03.avi,Learned Squat,2,2,0,100.0,137,137,100.0,0,2,0,0,
squat,arc1_similar_dataset_v_BodyWeightSquats_g15_c04.avi,Learned Squat,2,2,0,100.0,126,126,100.0,0,2,0,0,
squat,arc1_similar_dataset_v_BodyWeightSquats_g22_c03.avi,Learned Squat,2,2,0,100.0,138,137,99.28,1,0,1,0,
squat,arc2_squat_13.mp4,Learned Squat,2,2,0,100.0,130,130,100.0,2,0,0,0,
squat,arc2_squat_29.mp4,Learned Squat,1,1,0,100.0,55,55,100.0,1,0,0,0,
squat,arc2_squat_7.mp4,Learned Squat,0,1,1,0.0,58,58,100.0,1,0,0,0,
squat,arc2_squat_8.mp4,Learned Squat,1,1,0,100.0,101,101,100.0,1,0,0,0,
squat,arc2_squat_9.mp4,Learned Squat,1,1,0,100.0,72,69,95.83,1,0,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_1.mp4,Learned Push-up,2,3,1,50.0,150,150,100.0,0,1,2,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_10.mp4,Learned Push-up,3,3,0,100.0,150,148,98.67,3,0,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_11.mp4,Learned Push-up,1,1,0,100.0,108,108,100.0,0,1,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_12.mp4,Learned Push-up,3,3,0,100.0,150,150,100.0,3,0,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_13.mp4,Learned Push-up,2,4,2,0.0,145,145,100.0,2,1,1,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_14.mp4,Learned Push-up,2,2,0,100.0,150,150,100.0,2,0,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_15.mp4,Learned Push-up,2,3,1,50.0,150,150,100.0,2,1,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_16.mp4,Learned Push-up,1,2,1,0.0,140,139,99.29,1,1,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_17.mp4,Learned Push-up,4,5,1,75.0,150,150,100.0,5,0,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_18.mp4,Learned Push-up,1,1,0,100.0,150,149,99.33,1,0,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_19.mp4,Learned Push-up,4,3,-1,75.0,150,150,100.0,2,1,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_2.mp4,Learned Push-up,2,3,1,50.0,150,149,99.33,0,3,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_20.mp4,Learned Push-up,1,1,0,100.0,82,82,100.0,1,0,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_21.mp4,Learned Push-up,1,1,0,100.0,113,113,100.0,1,0,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_22.mp4,Learned Push-up,1,0,-1,0.0,150,150,100.0,0,0,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_23.mp4,Learned Push-up,1,1,0,100.0,116,116,100.0,1,0,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_24.mp4,Learned Push-up,1,2,1,0.0,126,125,99.21,1,0,1,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_25.mp4,Learned Push-up,1,1,0,100.0,98,97,98.98,1,0,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_3.mp4,Learned Push-up,2,2,0,100.0,150,150,100.0,0,1,1,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_4.mp4,Learned Push-up,2,2,0,100.0,150,150,100.0,2,0,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_5.mp4,Learned Push-up,1,2,1,0.0,150,150,100.0,2,0,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_6.mp4,Learned Push-up,2,1,-1,50.0,150,150,100.0,1,0,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_7.mp4,Learned Push-up,2,2,0,100.0,150,150,100.0,1,1,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_8.mp4,Learned Push-up,1,2,1,0.0,150,150,100.0,1,1,0,0,
push-up,arc1_final_kaggle_with_additional_video_push-up_9.mp4,Learned Push-up,2,2,0,100.0,150,150,100.0,0,2,0,0,
push-up,arc1_my_test_video_1_push-up_1.mp4,Learned Push-up,9,8,-1,88.89,422,422,100.0,4,4,0,0,
push-up,arc1_my_test_video_1_push-up_2.mp4,Learned Push-up,9,9,0,100.0,362,360,99.45,9,0,0,0,
push-up,arc1_my_test_video_1_push-up_3.mp4,Learned Push-up,8,8,0,100.0,366,365,99.73,0,8,0,0,
push-up,arc1_similar_dataset_01b09356-3985-474f-827f-20c79cfcda78.mp4,Learned Push-up,4,4,0,100.0,550,550,100.0,4,0,0,0,
push-up,arc1_similar_dataset_02dd7b9d-c7fe-41b8-993a-e250b07a5ceb.mp4,Learned Push-up,11,1,-10,9.09,300,299,99.67,0,1,0,0,
push-up,arc1_similar_dataset_10cad66c-a298-4de5-ac55-16ff825f8101.mp4,Learned Push-up,14,0,-14,0.0,215,215,100.0,0,0,0,0,
push-up,arc1_similar_dataset_53f39e2a-4ca3-45d1-af84-6ddfde7ff818.mp4,Learned Push-up,12,1,-11,8.33,300,300,100.0,1,0,0,0,
push-up,arc1_similar_dataset_57f76c55-838a-4184-9ad0-effced296b5c.mp4,Learned Push-up,13,0,-13,0.0,215,215,100.0,0,0,0,0,
push-up,arc1_similar_dataset_5b596f14-2afd-45c1-a79b-f5b61bf050a7.mp4,Learned Push-up,5,2,-3,40.0,86,86,100.0,0,2,0,0,
push-up,arc1_similar_dataset_5e507b14-eaeb-4b1a-9ff0-3de5883d0d22.mp4,Learned Push-up,18,0,-18,0.0,550,549,99.82,0,0,0,0,
push-up,arc1_similar_dataset_64f7ef6d-5a82-48e1-b75f-cca64f151315.mp4,Learned Push-up,13,12,-1,92.31,588,588,100.0,7,5,0,0,
push-up,arc1_similar_dataset_6e4f0e04-4dbd-476c-9884-a476bd7a2c33.mp4,Learned Push-up,10,2,-8,20.0,300,299,99.67,2,0,0,0,
push-up,arc1_similar_dataset_a31bfef9-b3ea-4fb9-8541-572fa62f15bb.mp4,Learned Push-up,18,0,-18,0.0,550,549,99.82,0,0,0,0,
push-up,arc1_similar_dataset_bd26f1c8-271f-45d2-a877-0deaa4f6e6f2.mp4,Learned Push-up,17,0,-17,0.0,550,550,100.0,0,0,0,0,
push-up,arc1_similar_dataset_v_PushUps_g01_c02.avi,Learned Push-up,2,2,0,100.0,53,53,100.0,2,0,0,0,
push-up,arc1_similar_dataset_v_PushUps_g17_c02.avi,Learned Push-up,2,2,0,100.0,81,80,98.77,0,2,0,0,
push-up,arc1_similar_dataset_v_PushUps_g17_c03.avi,Learned Push-up,2,2,0,100.0,74,74,100.0,0,2,0,0,
push-up,arc1_similar_dataset_v_PushUps_g19_c03.avi,Learned Push-up,3,4,1,66.67,76,75,98.68,1,3,0,0,
push-up,arc1_similar_dataset_v_PushUps_g25_c01.avi,Learned Push-up,2,2,0,100.0,90,90,100.0,0,2,0,0,
push-up,arc1_similar_dataset_v_PushUps_g25_c02.avi,Learned Push-up,2,2,0,100.0,109,109,100.0,2,0,0,0,
push-up,arc2_push-up_11.mp4,Learned Push-up,2,2,0,100.0,150,150,100.0,1,1,0,0,
push-up,arc2_push-up_12.mp4,Learned Push-up,2,2,0,100.0,150,150,100.0,2,0,0,0,
push-up,arc2_push-up_13.mp4,Learned Push-up,2,2,0,100.0,150,150,100.0,2,0,0,0,
push-up,arc2_push-up_14.mp4,Learned Push-up,2,2,0,100.0,150,147,98.0,2,0,0,0,
push-up,arc2_push-up_15.mp4,Learned Push-up,0,0,0,100.0,83,82,98.8,0,0,0,0,
push-up,arc2_push-up_17.mp4,Learned Push-up,1,1,0,100.0,91,90,98.9,1,0,0,0,
push-up,arc2_push-up_18.mp4,Learned Push-up,0,0,0,100.0,70,70,100.0,0,0,0,0,
push-up,arc2_push-up_19.mp4,Learned Push-up,1,2,1,0.0,150,149,99.33,1,1,0,0,
push-up,arc2_push-up_22.mp4,Learned Push-up,1,1,0,100.0,150,150,100.0,1,0,0,0,
push-up,arc2_push-up_28.mp4,Learned Push-up,3,3,0,100.0,113,113,100.0,3,0,0,0,
push-up,arc2_push-up_30.mp4,Learned Push-up,4,4,0,100.0,140,128,91.43,4,0,0,0,
push-up,arc2_push-up_31.mp4,Learned Push-up,4,4,0,100.0,150,150,100.0,4,0,0,0,
push-up,arc2_push-up_32.mp4,Learned Push-up,4,5,1,75.0,150,149,99.33,1,4,0,0,
push-up,arc2_push-up_33.mp4,Learned Push-up,5,4,-1,80.0,146,146,100.0,4,0,0,0,
push-up,arc2_push-up_34.mp4,Learned Push-up,3,3,0,100.0,114,114,100.0,3,0,0,0,
push-up,arc2_push-up_35.mp4,Learned Push-up,4,4,0,100.0,150,150,100.0,4,0,0,0,
push-up,arc2_push-up_37.mp4,Learned Push-up,4,4,0,100.0,149,149,100.0,4,0,0,0,
push-up,arc2_push-up_42.mp4,Learned Push-up,2,0,-2,0.0,150,150,100.0,0,0,0,0,
push-up,arc2_push-up_46.mp4,Learned Push-up,1,0,-1,0.0,150,150,100.0,0,0,0,0,
push-up,arc2_push-up_47.mp4,Learned Push-up,1,0,-1,0.0,105,105,100.0,0,0,0,0,
push-up,arc2_push-up_48.mp4,Learned Push-up,2,0,-2,0.0,150,129,86.0,0,0,0,0,
push-up,arc2_push-up_49.mp4,Learned Push-up,2,1,-1,50.0,150,149,99.33,0,1,0,0,
push-up,arc2_push-up_50.mp4,Learned Push-up,2,1,-1,50.0,150,150,100.0,0,0,1,0,
push-up,arc2_push-up_51.mp4,Learned Push-up,3,3,0,100.0,133,133,100.0,2,1,0,0,
push-up,arc2_push-up_53.mp4,Learned Push-up,12,17,5,58.33,663,662,99.85,10,6,1,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_1.mp4,BicepCurl,0,1,1,0.0,114,114,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_10.mp4,BicepCurl,1,1,0,100.0,59,59,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_11.mp4,BicepCurl,3,3,0,100.0,201,201,100.0,3,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_12.mp4,BicepCurl,1,1,0,100.0,123,123,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_13.mp4,BicepCurl,1,1,0,100.0,141,141,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_14.mp4,BicepCurl,1,1,0,100.0,69,69,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_15.mp4,BicepCurl,1,1,0,100.0,65,65,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_16.mp4,BicepCurl,1,1,0,100.0,63,63,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_17.mp4,BicepCurl,0,1,1,0.0,61,61,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_18.mp4,BicepCurl,3,3,0,100.0,229,229,100.0,3,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_19.mp4,BicepCurl,4,4,0,100.0,421,421,100.0,4,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_2.mp4,BicepCurl,1,1,0,100.0,77,77,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_20.mp4,BicepCurl,1,1,0,100.0,94,94,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_21.mp4,BicepCurl,1,2,1,0.0,120,120,100.0,2,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_22.mp4,BicepCurl,1,1,0,100.0,70,70,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_23.mp4,BicepCurl,1,1,0,100.0,70,70,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_24.mp4,BicepCurl,1,1,0,100.0,84,84,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_25.mp4,BicepCurl,1,1,0,100.0,78,78,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_3.mp4,BicepCurl,1,1,0,100.0,73,73,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_4.mp4,BicepCurl,0,0,0,100.0,53,53,100.0,0,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_5.mp4,BicepCurl,0,1,1,0.0,82,81,98.78,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_6.mp4,BicepCurl,1,1,0,100.0,80,80,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_7.mp4,BicepCurl,1,1,0,100.0,138,138,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_8.mp4,BicepCurl,0,1,1,0.0,98,98,100.0,1,0,0,0,
barbell_biceps_curl,arc1_final_kaggle_with_additional_video_barbell_biceps_curl_9.mp4,BicepCurl,1,1,0,100.0,72,67,93.06,1,0,0,0,
barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_1.mp4,BicepCurl,11,11,0,100.0,577,576,99.83,11,0,0,0,
barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_2.mp4,BicepCurl,8,8,0,100.0,375,375,100.0,8,0,0,0,
barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_3.mp4,BicepCurl,8,8,0,100.0,412,411,99.76,8,0,0,0,
barbell_biceps_curl,arc1_my_test_video_1_barbell_biceps_curl_4.mp4,BicepCurl,4,4,0,100.0,217,216,99.54,4,0,0,0,
barbell_biceps_curl,arc1_similar_dataset_0d402adf-578c-4c26-ba50-3b28a6f0e648.mp4,BicepCurl,3,3,0,100.0,258,258,100.0,3,0,0,0,
barbell_biceps_curl,arc1_similar_dataset_1a3e6f0d-fb99-4e4d-b80f-831c7f38aca9.mp4,BicepCurl,2,3,1,50.0,240,240,100.0,3,0,0,0,
barbell_biceps_curl,arc1_similar_dataset_27d82bac-ce83-4f91-a381-c11dd0bf6932.mp4,BicepCurl,2,5,3,0.0,300,299,99.67,4,1,0,0,
barbell_biceps_curl,arc1_similar_dataset_3f034ee8-792b-4646-8746-c0dbbf6e5b50.mp4,BicepCurl,3,3,0,100.0,300,300,100.0,3,0,0,0,
barbell_biceps_curl,arc1_similar_dataset_72fb4cb4-ecad-44df-a0e1-5e4f4b581f9e.mp4,BicepCurl,2,2,0,100.0,192,166,86.46,2,0,0,0,
barbell_biceps_curl,arc1_similar_dataset_89b99b36-5491-4bc6-952c-53a67b889b62.mp4,BicepCurl,2,3,1,50.0,300,300,100.0,3,0,0,0,
barbell_biceps_curl,arc1_similar_dataset_ac696ae8-e815-4f5f-bd32-864e2477e3ce.mp4,BicepCurl,2,2,0,100.0,192,192,100.0,2,0,0,0,
barbell_biceps_curl,arc1_similar_dataset_f20150e2-f6e1-41e9-ab13-9d1e42599bba.mp4,BicepCurl,1,2,1,0.0,300,284,94.67,2,0,0,0,
barbell_biceps_curl,arc1_similar_dataset_f32c33d2-e298-499a-a61e-7236d6f1ba64.mp4,BicepCurl,3,3,0,100.0,270,263,97.41,3,0,0,0,
barbell_biceps_curl,arc1_similar_dataset_f9d9d0bb-7286-4074-8d3c-e73d4072ad79.mp4,BicepCurl,0,3,3,0.0,242,242,100.0,3,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_10.mp4,BicepCurl,0,0,0,100.0,94,94,100.0,0,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_11.mp4,BicepCurl,1,0,-1,0.0,75,75,100.0,0,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_13.mp4,BicepCurl,1,1,0,100.0,122,122,100.0,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_18.mp4,BicepCurl,1,1,0,100.0,67,67,100.0,0,1,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_19.mp4,BicepCurl,1,1,0,100.0,60,60,100.0,0,1,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_20.mp4,BicepCurl,1,1,0,100.0,56,12,21.43,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_21.mp4,BicepCurl,1,2,1,0.0,58,29,50.0,1,0,1,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_22.mp4,BicepCurl,1,1,0,100.0,58,36,62.07,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_27.mp4,BicepCurl,1,2,1,0.0,55,39,70.91,1,1,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_28.mp4,BicepCurl,1,3,2,0.0,61,42,68.85,2,1,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_29.mp4,BicepCurl,1,1,0,100.0,58,21,36.21,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_30.mp4,BicepCurl,1,1,0,100.0,49,49,100.0,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_31.mp4,BicepCurl,1,1,0,100.0,65,65,100.0,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_32.mp4,BicepCurl,1,1,0,100.0,65,65,100.0,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_33.mp4,BicepCurl,1,1,0,100.0,62,62,100.0,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_34.mp4,BicepCurl,1,1,0,100.0,63,63,100.0,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_35.mp4,BicepCurl,1,1,0,100.0,58,58,100.0,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_36.mp4,BicepCurl,1,1,0,100.0,50,50,100.0,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_38.mp4,BicepCurl,1,1,0,100.0,59,59,100.0,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_39.mp4,BicepCurl,1,1,0,100.0,54,54,100.0,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_41.mp4,BicepCurl,1,3,2,0.0,201,128,63.68,3,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_43.mp4,BicepCurl,1,1,0,100.0,132,132,100.0,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_49.mp4,BicepCurl,1,1,0,100.0,90,90,100.0,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_51.mp4,BicepCurl,3,5,2,33.33,282,282,100.0,3,0,2,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_52.mp4,BicepCurl,4,5,1,75.0,372,372,100.0,5,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_53.mp4,BicepCurl,3,4,1,66.67,176,176,100.0,4,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_54.mp4,BicepCurl,3,3,0,100.0,132,132,100.0,3,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_55.mp4,BicepCurl,2,2,0,100.0,147,147,100.0,2,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_56.mp4,BicepCurl,2,5,3,0.0,213,206,96.71,2,1,2,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_57.mp4,BicepCurl,2,3,1,50.0,234,234,100.0,3,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_58.mp4,BicepCurl,2,3,1,50.0,162,128,79.01,3,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_59.mp4,BicepCurl,3,2,-1,66.67,194,193,99.48,2,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_6.mp4,BicepCurl,1,2,1,0.0,123,122,99.19,2,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_60.mp4,BicepCurl,3,4,1,66.67,246,224,91.06,4,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_61.mp4,BicepCurl,1,1,0,100.0,70,70,100.0,1,0,0,0,
barbell_biceps_curl,arc2_barbell_biceps_curl_62.mp4,BicepCurl,1,1,0,100.0,98,97,98.98,1,0,0,0,
